fecha,tipo_transacción,precio_inmueble,datos,barrio,expensas,descripcion
20230613,venta_inmueble,USD 98.500, 60 m²   60 m²   60 m²   60 m²   3 amb.   3 amb.   2 dorm.   2 dorm.   1 baño   1 baño  ,"Caballito, Capital Federal",$ 10.000 Expensas,"3 amplios ambientes, semipiso frente todo luz Y sol, edificio de estilo en esquina, superficie aproximada 60 metros, hall de entrada 3X1, living comedor 5X3, ambos dormitori de 4X4, cocina 3X2 lavadero incorporado, baño completo 3X2, excelente ubicacion zona caballito, sobre avenida, cuadras centro comercial, subte ""A"", estacion tren Y gran oferta de lineas de colectivos"
20230613,venta_inmueble,USD 145.000, 69 m²   69 m²   49 m²   49 m²   3 amb.   3 amb.   2 dorm.   2 dorm.   1 baño   1 baño  ,"Liniers, Capital Federal",,"Semipiso de tres ambientes al frente, con salida a balcón terraza y sector parrilla. Cocheras y bauleras opcionales. Tonelero 6039, con ubicación estratégica, a dos cuadras de Av. Rivadavia y a siete cuadras de Av. Emilio Castro, con ágil acceso hacia Av. Gral. Paz. En una zona de esparcimiento, con variedad de medios de transporte y ágiles conexiones a toda la ciudad de Buenos Aires. Norde PropiedadesConsultas 4687. 4490WhatsApp Ver datosMatrícula 2014-cucicba"
20230613,venta_inmueble,USD 550.000, 165 m²   165 m²   165 m²   165 m²   5 amb.   5 amb.   2 baños   2 baños  ,"Botánico, Palermo",$ 90.000 Expensas,"Excepcional oficina en venta con excelentes vistas 360 grados de la Ciudad de Buenos Aires, en una de las mejores esquinas de Palermo! Oportunidad única! Tambien hay posibilidad de transformar la oficina en una vivienda en duplex de 165 m2! La oficina es en duplex y se desarrolla de la siguiente manera: - Piso 12 (pb)   - Palier privado  - Recepcion  - Dos grandes despachos privados con excelentes vistas  - Gran sala de reuniones (con datacenter y archivo)   - Toilette- Piso 13 (pa)   - Gran espacio de trabajo  - Cocina/Comedor  - Baño  - Toilette  - Sala de reuniones o gran privado con sala anexa mas pequeña. Las medidas declaradas son estimativas. La venta de este inmueble está sujeta a la tramitación del Codigo de Transferencia de Inmuebles (coti) , de conformidad con la normativa vigente (Res. Afip 2371/08, 2439/08 y ccs. ) por parte del propietario. "
20230613,venta_inmueble,USD 99.000, 34 m²   34 m²   34 m²   34 m²   1 amb.   1 amb.   1 baño   1 baño  ,"Recoleta, Capital Federal",,"Barrio Norte. Edificio metropolitan plaza. Departamento de 1 ambiente. Cocina integrada (se entrega con anafe y hornito). Espacio de guardado. Placard de piso a techo. Ambiente con salida a balcón lateral. Baño completo. Superficie total de 34. 9 m2 totales. Disposición contrafrente. Con vista hacia pulmón de manzana. Orientación este. Opción cochera fija cubierta. Características: Disposicion: Lateral Vista: pulmón de manzana Orientacion: este Superficie total: 34. 93 m2 amenities • Gimnasio totalmente equipado de última generación. • Parrillas sobre terraza con pérgolas en el piso 19 • sum en Planta Baja • Laundry estado Posesión Noviembre 2022 Ubicación: Junín al 800 - (Entre Av. Córdoba y Paraguay). A 6 cuadras de Av. Pueyrredón y a 4 cuadras de Av. Callao. Si tenés que vender para comprar, consultános! Te ayudamos en todo el proceso de compraventa! Los metros son estimados, los metros reales surgirán del respectivo título de la propiedad. Ramos Couriel Real Estate sa cucicba 1255 Los metros son estimados, los metros reales surgirán del respectivo título de la propiedad. Ramos Couriel Real Estate sascucicba 1255"
20230613,venta_inmueble,USD 120.000, 33 m²   33 m²   29 m²   29 m²   1 amb.   1 amb.   1 dorm.   1 dorm.   1 baño   1 baño  ,"Recoleta, Capital Federal",,Barrio norte- recoleta A estrenar Excelente calidad y diseño unicos en la zona (cinco esquinas) 13 departamentos de uno y dos ambientes 
20230613,venta_inmueble,USD 76.000, 43 m²   43 m²   37 m²   37 m²   1 amb.   1 amb.   1 baño   1 baño  ,"Almagro, Capital Federal",$ 12.000 Expensas,"Salaya Romera Propiedades Ofrece a la Venta Hermoso Monoambiente divisible Excelente ubicacion a un paso de todo. La unidad esta en impecable estado, resalta por su luminosidad y al ser piso alto su vista es abierta y amplia.  El departamento tiene cocina integrada, baño completo. Es apto Profesional. El estado de las areas comunes es impecable, ya que cuenta con poca antiguedad.  El balcon es aterrazado;El edificio cuenta con sum con parrilla, y laundry. Las expensas incluyen Aysa. Agende su visita! Las imágenes aquí contenidas han sido incluidas al solo y único efecto ilustrativo de esta presentación. Las medidas son aproximadas y han sido suministradas por los propietarios. Propiedad sujeta a la gestión del coti por parte del propietario. Recoleta: Agüero 1896. Tel. Ver datosPuerto Olivos: Av. Del Libertador 2601. Tel. Ver datosOlivos: Corrientes 702. Tel. Ver datoscucicba 3638 cmcpsi Ver datos "
20230613,venta_inmueble,USD 535.000, 153 m²   153 m²   153 m²   153 m²   4 amb.   4 amb.   3 dorm.   3 dorm.   2 baños   2 baños   1 coch.   1 coch.  ,"Palermo, Capital Federal",$ 60.000 Expensas,"Espectacular Piso al frente sobre Av del Libertador reciclado a nuevo. Excelente vista abierta a hipódromo y río. Muy luminoso, con excelente bacón corrido. Palier privado, Amplio living con ventanales y salida al balcón, cocina independiente con comedor diario, toilette recepción, lavadero y dependencia con baño. Dos dormitorios que comparten baño completo, suite principal con salida al balcón. Espacio guarda coche. Edificio posee totem de seguridad. "
20230613,venta_inmueble,USD 117.900, 54 m²   54 m²   52 m²   52 m²   3 amb.   3 amb.   2 dorm.   2 dorm.   1 baño   1 baño  ,"Coghlan, Capital Federal",,"Departamento - uf 6 ubicada en 3er piso Lateral, esta unidad cuenta con un amplio Living Comedor, 2 dormitorios comodos con placard. 1 Baño completo y 1 Toilette. Forma de pago: 40% Anticipo (U$S) y 60% hasta en 60 cuotas en pesos + cac. Mas Info! En construccion. Paneles solares que alimentan los espacios comunes del edificio haciendo posible las bajas expensas. Recoleccion de agua de lluvia. dvh doble vidrio para mejorar su calidad constructiva y ayudar al medio ambiente (menos consumo de energia para calefacion y refrigeracion). Cerca del hospital Pirovano. Zona comercial Av. Monroe (50mts) y a 4 cuadras de Av. Congreso. Supermercado y variedad de comercios a pocos metros. Areas Verdes y zona de colegios hacen de su ubicacion un lugar privilegiado. Muy bajas Expensas! Dimensiones: Mts2 cubiertos 52. Mts2 Semicubiertos 2. Mts2 totales 54. Transportes Cercanos: Colectivos: 19, 41, 76, 107, 114, 133, 169. Trenes: Coghlan (mitre). Subte: 15 cuadras. Recordá que podes bajarte la carpeta completa de este emprendimiento en pdf desde nuestra web donde encontraras todos los detalles y/o hacer el recorrido virtual de esta unidad. No Cobramos Comisión. Invertí en el lugar donde te gustaría vivir. Raul A. AlvarezMartillero Publico cucicba M. Nro. 8354Servicios de comercialización e inversión inmobiliaria. "
20230613,venta_inmueble,USD 80.000, 40 m²   40 m²   40 m²   40 m²   2 amb.   2 amb.   1 dorm.   1 dorm.   1 baño   1 baño   1 coch.   1 coch.  ,"Flores, Capital Federal",$ 9.000 Expensas,"Luminoso departamento de 2 ambientes con cochera fija. Esta ubicado al lateral con su orientación al noroeste. Cuenta con un living-comedor, un dormitorio con placard y un baño completo. Su cocina es cómoda con lavadero incorporado. Optima ubicación, a metros de Av. Directorio y a 4 cuadras de Av. Rivadavia - subte línea A y demás medios de transporte. Venta supeditada al cumplimiento por parte del propietario de los requisitos de la resolución general N° 2371 de la afip (pedido de coti). "
20230613,venta_inmueble,USD 349.000, 101 m²   101 m²   91 m²   91 m²   4 amb.   4 amb.   3 dorm.   3 dorm.   2 baños   2 baños   2 coch.   2 coch.  ,"Caballito, Capital Federal",$ 28.000 Expensas,"Excelente Departamento de 4 ambientes con 2 cocheras en la mejor ubicación de Caballito. Se trata de un impecable semipiso que dispone de 2 ascensores lo cual le permite tener un palier totalmente privado y separado del contra frente. Living Comedor con hermosos pisos de madera y de amplio tamaño, con salida a un gran balcon al frente con cerramiento en vidrio con apertura. Cocina totalmente separada con entrada de servicio, mucho espacio de guardado y acceso al lavadero separado con la caldera individual y lavarropas. Luego tenemos un Hall de distribución el cual conecta las 3 habitaciones y el baño principal. Dormitorio principal de amplias medidas para cama King Size, vestidor y baño en suite. Los otros 2 dormitorios tambiénson de cómodas medidas, con placard empotrado. 2 cocheras fijas en el único subsuelo con ascensor de autos. Calefacción por radiadores mediante caldera individual. En el ultimo piso se encuentran la piscina y el sum de uso comun. Edificio de calidad Premium, sin encargado lo cual hace que las expensas sean económicas acorde a la propiedad. Ubicado en la Avenida mas prestigiosa de Caballito, Av. Pedro Goyena. Con sus múltiples opciones gastronómicas, comercios y medios de transporte. Rodeado de los mejores Colegios del Barrio y solo 4 cuadras del Subte E (Jose M. Moreno), cercania con el Subte A (Acoyte). medidas: cocina: 3. 36 X 3. 93lavadero ind: 0. 73 X 1. 70living: 6. 82 X 3. 44balcon: 1. 35 X 7tercer dormitorio: 2. 85 X 2. 79baño principal: 1. 85 X 1. 92hall: 0. 90 X 4. 27dormitorio secundario: 2. 31 X 3. 90dormitorio principal: 2. 87 X3. 38irujo bienes raices iapVer datos"
